date,Dist_noconnection,EAdistcumsum0,EAdistcumsum1,EAdistcumsum2,EAdistcumsum3,EAdistcumsum5
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01feb2010,100,13.116,31.677002,50.079002,69.791,73.697998
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01mar2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01apr2010,100,13.116,15.002,15.002,15.002,15.002
01may2010,100,13.116,15.002,15.002,15.002,15.002
01may2010,100,13.116,15.002,15.002,15.002,15.002
01may2010,100,13.116,15.002,15.002,15.002,15.002
01may2010,100,13.116,15.002,15.002,15.002,15.002
01may2010,100,13.116,15.002,15.002,15.002,15.002
01may2010,100,13.116,15.002,15.002,15.002,15.002
01may2010,100,13.116,15.002,15.002,15.002,15.002
01may2010,100,13.116,15.002,15.002,15.002,15.002
01may2010,100,13.116,15.002,15.002,15.002,15.002
01may2010,100,13.116,15.002,15.002,15.002,15.002
01may2010,100,13.116,15.002,15.002,15.002,15.002
01may2010,100,13.116,15.002,15.002,15.002,15.002
01may2010,100,13.116,15.002,15.002,15.002,15.002
01may2010,100,13.116,15.002,15.002,15.002,15.002
01may2010,100,13.116,15.002,15.002,15.002,15.002
01may2010,100,13.116,15.002,15.002,15.002,15.002
01may2010,100,13.116,15.002,15.002,15.002,15.002
01may2010,100,13.116,15.002,15.002,15.002,15.002
01may2010,100,13.116,15.002,15.002,15.002,15.002
01may2010,100,13.116,15.002,15.002,15.002,15.002
01may2010,100,13.116,15.002,15.002,15.002,15.002
01may2010,100,13.116,15.002,15.002,15.002,15.002
01may2010,100,13.116,15.002,15.002,15.002,15.002
