country_ID,Year,Month,dist_CHN,reachable_nodes,incloseness,betweenness
44,2022,7,2,38,0.002834557,0
45,2022,7,1,38,0.00342315,0
46,2022,7,2,38,0.002834557,0
47,2022,7,,0,0,0
48,2022,7,1,38,0.003639805,2.735664336
49,2022,7,1,38,0.00342315,0
50,2022,7,1,38,0.003885738,65.61496836
51,2022,7,1,38,0.00342315,0
52,2022,7,,0,0,0
53,2022,7,2,38,0.002846977,95.66666667
54,2022,7,1,38,0.00410778,21.06026751
55,2022,7,,0,0,0
56,2022,7,1,38,0.003594308,0
57,2022,7,1,38,0.003594308,26.75
58,2022,7,1,38,0.003993675,6.855133755
59,2022,7,,0,0,0
60,2022,7,2,38,0.00266245,0
61,2022,7,,0,0,0
62,2022,7,,0,0,0
63,2022,7,1,38,0.00342315,0
64,2022,7,,0,0,0
65,2022,7,,0,0,0
66,2022,7,,0,0,0
67,2022,7,,0,0,0
68,2022,7,,0,0,0
69,2022,7,,0,0,0
70,2022,7,2,38,0.003125485,5.733333333
1,2023,7,1,38,0.003639805,0
2,2023,7,2,38,0.002834557,0
3,2023,7,1,38,0.00342315,0
4,2023,7,,0,0,0
5,2023,7,1,38,0.003734346,4.067832168
6,2023,7,,0,0,0
7,2023,7,,0,0,0
8,2023,7,,0,0,0
9,2023,7,,0,0,0
10,2023,7,,0,0,0
11,2023,7,,0,0,0
12,2023,7,1,38,0.004167314,95.70300255
13,2023,7,1,38,0.00342315,0
14,2023,7,0,38,0.005990513,1154.013703
15,2023,7,,0,0,0
16,2023,7,2,38,0.002846977,23.33333333
17,2023,7,1,38,0.004167314,443.5218004
18,2023,7,1,38,0.00342315,0
19,2023,7,,0,0,0
20,2023,7,1,38,0.003464393,0
21,2023,7,1,38,0.003639805,0
22,2023,7,1,38,0.00342315,0
23,2023,7,2,38,0.002819065,0
24,2023,7,1,38,0.003639805,6.666666667
25,2023,7,1,38,0.004356737,222.3264624
26,2023,7,,0,0,0
27,2023,7,1,38,0.00342315,0
28,2023,7,2,38,0.002834557,0
29,2023,7,1,38,0.00342315,0
30,2023,7,1,38,0.003639805,1.367832168
31,2023,7,,0,0,0
32,2023,7,2,38,0.002764852,0
33,2023,7,1,38,0.00342315,0
34,2023,7,,0,0,0
35,2023,7,,0,0,0
36,2023,7,1,38,0.003464393,0
37,2023,7,1,38,0.00342315,0
38,2023,7,2,38,0.002834557,0
39,2023,7,3,38,0.00212996,42.33333333
40,2023,7,1,38,0.00342315,0
41,2023,7,2,38,0.002819065,0
42,2023,7,2,38,0.002834557,0
43,2023,7,1,38,0.003506642,0
44,2023,7,2,38,0.002834557,0
45,2023,7,1,38,0.00342315,0
46,2023,7,2,38,0.002834557,0
47,2023,7,,0,0,0
48,2023,7,1,38,0.003639805,2.735664336
49,2023,7,1,38,0.00342315,0
50,2023,7,1,38,0.003833928,60.58163503
51,2023,7,1,38,0.00342315,0
52,2023,7,,0,0,0
53,2023,7,2,38,0.002846977,93.66666667
54,2023,7,1,38,0.00410778,20.81026751
55,2023,7,,0,0,0
56,2023,7,1,38,0.003594308,0
57,2023,7,1,38,0.003594308,27.36666667
58,2023,7,1,38,0.003993675,6.688467088
59,2023,7,,0,0,0
60,2023,7,2,38,0.002638024,0
61,2023,7,,0,0,0
62,2023,7,,0,0,0
63,2023,7,,0,0,0
64,2023,7,,0,0,0
65,2023,7,,0,0,0
66,2023,7,,0,0,0
67,2023,7,,0,0,0
68,2023,7,,0,0,0
69,2023,7,,0,0,0
70,2023,7,2,38,0.003125485,5.816666667
1,2000,8,,0,0,0
2,2000,8,,0,0,0
3,2000,8,,0,0,0
4,2000,8,,0,0,0
5,2000,8,,0,0,0
6,2000,8,,0,0,0
7,2000,8,,0,0,0
8,2000,8,,0,0,0
9,2000,8,,0,0,0
10,2000,8,,0,0,0
11,2000,8,,0,0,0
12,2000,8,,3,0.00042008,0
13,2000,8,,0,0,0
14,2000,8,0,0,0,0
15,2000,8,,0,0,0
16,2000,8,,0,0,0
17,2000,8,,0,0,0
18,2000,8,,0,0,0
19,2000,8,,0,0,0
20,2000,8,,2,0.00021004,0
21,2000,8,,0,0,0
22,2000,8,,0,0,0
23,2000,8,,0,0,0
24,2000,8,,0,0,0
25,2000,8,,0,0,0
26,2000,8,,0,0,0
27,2000,8,,0,0,0
